task_id,risk_path,scene_path,used_scene_specific_reliability,selected_worker,candidate_pool_size,candidate_rank,runner_up_worker,winner_margin,route_attribution_rule_version,decision_reason_chain
513,m_tier,fallback::reflection|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:fallback::reflection|acceptable;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
515,m_tier,fallback::other,False,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:fallback::other;reliability:r_u_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
516,m_tier,fallback::reflection|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:fallback::reflection|acceptable;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
517,t_tier,fallback::oos::oos_geometry,False,1,1,1,,,route_attribution_replayable_v2,risk:t_tier;scene:fallback::oos::oos_geometry;reliability:r_u_lcb=1.0000;tier:T;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
519,t_tier,fallback::oos::oos_geometry,False,1,1,1,,,route_attribution_replayable_v2,risk:t_tier;scene:fallback::oos::oos_geometry;reliability:r_u_lcb=1.0000;tier:T;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
520,m_tier,fallback::reflection|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:fallback::reflection|acceptable;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
522,m_tier,core_scene::occlusion|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:core_scene::occlusion|acceptable;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
527,m_tier,core_scene::occlusion|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:core_scene::occlusion|acceptable;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
529,t_tier,fallback::oos::oos_geometry,False,1,1,1,,,route_attribution_replayable_v2,risk:t_tier;scene:fallback::oos::oos_geometry;reliability:r_u_lcb=1.0000;tier:T;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
530,m_tier,core_scene::occlusion|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:core_scene::occlusion|acceptable;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
531,m_tier,fallback::occlusion|over_parsing,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:fallback::occlusion|over_parsing;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
532,m_tier,fallback::reflection|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:fallback::reflection|acceptable;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
535,m_tier,fallback::occlusion|over_parsing,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:fallback::occlusion|over_parsing;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
536,m_tier,core_scene::occlusion|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:core_scene::occlusion|acceptable;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
540,m_tier,fallback::occlusion|over_parsing,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:fallback::occlusion|over_parsing;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
541,m_tier,fallback::occlusion|over_parsing,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:fallback::occlusion|over_parsing;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
542,m_tier,fallback::occlusion|over_parsing,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:fallback::occlusion|over_parsing;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
543,m_tier,fallback::occlusion|over_parsing,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:fallback::occlusion|over_parsing;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
545,m_tier,core_scene::occlusion|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:core_scene::occlusion|acceptable;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
548,t_tier,fallback::oos::oos_open_boundary,False,1,1,1,,,route_attribution_replayable_v2,risk:t_tier;scene:fallback::oos::oos_open_boundary;reliability:r_u_lcb=1.0000;tier:T;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
549,m_tier,core_scene::occlusion|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:core_scene::occlusion|acceptable;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
552,m_tier,core_scene::occlusion|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:core_scene::occlusion|acceptable;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
556,m_tier,core_scene::occlusion|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:core_scene::occlusion|acceptable;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
557,m_tier,core_scene::occlusion|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:core_scene::occlusion|acceptable;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
561,m_tier,core_scene::occlusion|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:core_scene::occlusion|acceptable;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
562,m_tier,core_scene::occlusion|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:core_scene::occlusion|acceptable;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
563,m_tier,core_scene::occlusion|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:core_scene::occlusion|acceptable;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
568,t_tier,fallback::oos::oos_split_level,False,1,1,1,,,route_attribution_replayable_v2,risk:t_tier;scene:fallback::oos::oos_split_level;reliability:r_u_lcb=1.0000;tier:T;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
569,m_tier,core_scene::occlusion|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:core_scene::occlusion|acceptable;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
570,m_tier,core_scene::occlusion|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:core_scene::occlusion|acceptable;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
571,m_tier,core_scene::occlusion|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:core_scene::occlusion|acceptable;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
572,type4_guarded,fallback::reflection|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:type4_guarded;scene:fallback::reflection|acceptable;reliability:r_u_s_lcb=1.0000;tier:I;active_time:lead_time_fallback;meta_guard:rejected;rank:1/1;margin:na
573,m_tier,core_scene::occlusion|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:core_scene::occlusion|acceptable;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
579,m_tier,core_scene::occlusion|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:core_scene::occlusion|acceptable;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
581,m_tier,core_scene::occlusion|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:core_scene::occlusion|acceptable;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
583,m_tier,core_scene::occlusion|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:core_scene::occlusion|acceptable;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
584,type4_guarded,fallback::reflection|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:type4_guarded;scene:fallback::reflection|acceptable;reliability:r_u_s_lcb=1.0000;tier:I;active_time:lead_time_fallback;meta_guard:rejected;rank:1/1;margin:na
585,m_tier,core_scene::occlusion|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:core_scene::occlusion|acceptable;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
586,m_tier,core_scene::occlusion|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:core_scene::occlusion|acceptable;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
590,m_tier,fallback::occlusion|over_parsing,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:fallback::occlusion|over_parsing;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
591,m_tier,fallback::reflection|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:fallback::reflection|acceptable;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
599,m_tier,core_scene::occlusion|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:core_scene::occlusion|acceptable;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
601,m_tier,core_scene::occlusion|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:core_scene::occlusion|acceptable;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
605,m_tier,core_scene::occlusion|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:core_scene::occlusion|acceptable;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
608,m_tier,core_scene::occlusion|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:core_scene::occlusion|acceptable;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
613,m_tier,core_scene::occlusion|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:core_scene::occlusion|acceptable;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
615,m_tier,core_scene::occlusion|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:core_scene::occlusion|acceptable;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
617,m_tier,core_scene::occlusion|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:core_scene::occlusion|acceptable;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
619,m_tier,core_scene::occlusion|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:core_scene::occlusion|acceptable;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
623,m_tier,core_scene::occlusion|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:core_scene::occlusion|acceptable;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
624,m_tier,fallback::reflection|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:fallback::reflection|acceptable;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
632,m_tier,core_scene::occlusion|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:core_scene::occlusion|acceptable;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
633,m_tier,core_scene::occlusion|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:core_scene::occlusion|acceptable;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
636,m_tier,core_scene::occlusion|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:core_scene::occlusion|acceptable;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
638,m_tier,core_scene::occlusion|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:core_scene::occlusion|acceptable;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
640,m_tier,core_scene::occlusion|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:core_scene::occlusion|acceptable;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
641,m_tier,core_scene::occlusion|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:core_scene::occlusion|acceptable;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
645,m_tier,core_scene::occlusion|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:core_scene::occlusion|acceptable;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
653,m_tier,core_scene::occlusion|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:core_scene::occlusion|acceptable;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
654,m_tier,core_scene::occlusion|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:core_scene::occlusion|acceptable;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
655,m_tier,core_scene::occlusion|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:core_scene::occlusion|acceptable;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
658,m_tier,core_scene::occlusion|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:core_scene::occlusion|acceptable;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
660,m_tier,core_scene::occlusion|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:core_scene::occlusion|acceptable;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
